ID,number of exercises done,MidTermB
3346074,0,3
3346075,3,2
3346086,7,1
3346125,10,1
3346614,8,3
3346633,0,2
3346654,3,1
3346837,13,3
3346982,6,3
3347237,0,2
3347251,11,1
3347256,10,1
3347257,10,2
3347259,0,3
3347305,0,3
3347311,0,3
3347337,0,3
3347357,0,2
3347401,0,2
3347424,14,3
3347459,10,1
3347510,0,3
3347550,0,3
3347671,5,1
3347672,2,2
3347673,9,1
3347674,12,2
3347675,12,1
3347676,11,3
3347677,2,1
3347678,8,1
3347679,5,2
3347680,7,3
3347681,4,2
3347682,4,3
3347683,4,2
3347684,4,2
3347685,2,1
3347686,7,1
3347687,12,2
3347688,10,2
3347689,0,1
3347690,5,1
3347691,8,1
3347692,0,3
3347693,8,1
3347695,7,2
3347696,0,3
3347697,0,3
3347698,4,2
3347699,0,3
3347700,0,2
3347701,0,2
3347703,4,1
3347704,14,1
3347705,0,3
3347706,5,2
3347707,0,1
3347708,10,1
3347709,11,2
3347710,0,1
3347711,2,1
3347712,10,1
3347714,8,1
3347715,1,2
3347716,6,3
3347717,9,2
3347718,9,1
3347719,6,1
3347720,1,3
3347721,9,1
3347722,8,1
3347723,14,1
3347724,4,1
3347726,7,1
3347727,10,1
3347729,5,3
3347730,8,1
3347731,0,3
3347732,5,1
3347734,0,2
3347735,0,1
3347736,12,1
3347738,12,1
3347739,0,3
3347740,0,2
3347741,7,2
3347743,5,2
3347744,2,2
3347745,4,3
3347746,5,3
3347747,0,3
3347748,9,1
3347749,8,2
3347750,7,2
3347751,10,2
3347752,0,3
3347753,6,1
3347754,0,2
3347756,0,2
3347757,6,3
3347758,1,1
3347759,4,1
3347760,0,3
3347761,1,2
3347762,9,3
3347763,14,2
3347764,5,2
3347765,12,1
3347766,0,1
3347767,7,1
3347768,7,2
3347769,0,3
3347770,0,1
3347771,13,1
3347772,13,1
3347773,8,1
3347774,7,2
3347776,0,3
3347777,0,2
3347778,11,1
3347779,0,2
3347781,5,2
3347782,3,2
3347783,1,3
3347784,2,2
3347785,0,3
3347786,4,2
3347787,0,3
3347788,1,2
3347789,2,3
3347790,0,2
3347792,1,3
3347793,0,2
3347794,6,2
3347796,0,2
3347797,7,2
3347798,3,3
3347799,1,3
3347800,7,1
3347801,1,3
3347802,4,2
3347803,11,1
3347804,2,2
3347805,7,2
3347806,0,3
3347807,9,1
3347808,2,1
3347809,8,1
3347810,0,3
3347811,2,3
3347812,2,3
7783369,8,2
7783370,5,1
7783371,5,1
7783372,12,1
7783374,6,2
7783377,0,2
7783378,7,1
7783379,0,2
7783380,4,3
7783381,0,3
7783382,14,2
7783384,0,3
7783385,7,1
7783386,4,3
7783387,0,3
7783388,0,3
7783389,8,1
7783390,0,1
7783391,5,1
7783392,6,2
7783393,0,3
7783394,1,1
7783396,9,2
7783397,10,2
7783398,4,3
7783399,11,2
7783400,14,2
7783401,4,1
7783402,3,1
7783403,12,1
7783404,3,2
7783405,4,1
7783406,6,1
7783407,14,1
7783408,4,1
7783409,14,1
7783410,0,1
7783412,0,3
7783413,4,1
7783414,2,2
7783415,7,1
7783416,2,2
7783417,11,1
7783418,14,2
7783419,4,2
7783420,8,1
7783421,12,1
7783422,2,2
7783423,4,1
7783424,12,1
7783425,13,1
7783426,14,1
7783427,0,1
7783428,0,3
7783429,6,1
7783430,4,1
7783431,4,2
7783432,7,1
7783433,14,1
7783434,12,1
7783435,11,1
7783436,11,1
7783437,14,1
7783438,14,1
7783439,0,1
7783440,11,1
7783441,4,1
7783442,0,2
7783443,0,1
7783444,4,2
7783445,0,1
7783446,14,1
7783447,5,3
7783449,0,2
7783450,1,1
7783451,0,3
7783452,13,3
7783453,3,1
7783454,0,3
7783455,9,1
7783456,6,1
7783459,0,1
7783460,5,1
7783461,13,1
7783464,0,1
7783465,5,3
7783466,0,3
7783469,3,2
7783470,5,3
7783471,4,1
7783472,9,2
7783473,0,2
7783475,13,2
7783478,0,3
7783480,7,2
7783481,10,1
7783482,0,2
7783483,4,2
7783484,12,3
7783485,2,3
7783486,4,2
7783487,13,3
7783488,9,3
7783489,7,3
7783490,0,3
7783491,12,2
7783492,7,2
7783493,0,2
7783494,1,1
7783495,7,1
7783496,0,2
7783497,4,3
7783498,0,3
7783499,6,2
7783500,1,2
7783501,9,2
7783503,3,3
7783504,3,2
7783506,7,2
7783507,1,2
7783509,0,3
7783510,2,2
7783511,5,3
7783512,5,3
7783513,0,2
7783514,0,3
7783515,0,1
7783516,1,3
7783517,4,3
7783518,0,3
7783519,7,3
7783520,0,2
7783522,0,3
7783523,9,3
7783524,0,3
7783525,8,1
7783526,0,2
7783527,0,3
7783528,0,1
7783529,8,1
7783532,1,3
7783533,5,1
7783534,7,2
7783536,7,1
7783537,2,2
7783540,9,1
7783541,5,1
7783542,13,1
7783543,3,3
7783544,5,2
7783547,6,2
7783548,0,1
7783549,5,2
7783550,5,1
7783551,6,2
7783553,7,2
7783555,0,3
7783557,5,1
7783558,5,1
7783559,0,2
7783560,2,2
7783561,8,2
7783562,11,1
7783563,7,1
7783564,0,3
7783567,7,2
7783568,0,3
7783570,0,1
7783574,3,2
7783577,0,3
7783580,6,1
7783581,5,2
7783583,0,2
7783585,10,1
7783586,3,1
7783587,0,3
7783588,4,3
7783589,0,1
7783590,0,3
7783591,2,1
7783592,0,3
7783593,5,2
7783594,1,2
7783595,0,2
7783596,0,3
7783597,0,3
7783598,3,1
7783601,4,2
7783602,8,2
7783603,0,3
7783604,0,3
7783605,6,3
7783606,0,3
7783607,5,1
7783608,0,2
7783610,5,3
7783611,1,2
7783612,0,3
7783613,12,2
7783614,0,2
7783615,5,1
7783620,0,3
7783621,0,3
7783622,0,3
7783623,0,3
7783625,10,1
7783626,9,1
7783627,8,2
7783628,14,2
7783629,2,1
7783635,0,1
7783637,14,1
7783638,5,3
7783642,10,2
7783643,1,3
7783647,11,1
7783649,8,1
7783650,0,1
7783651,1,1
7783652,9,3
7783653,0,3
7783654,1,3
7783655,7,3
7783656,5,1
7783657,4,2
7783658,14,1
7783659,1,3
7783660,1,3
7783663,0,3
7783664,7,3
7783666,5,3
7783668,1,3
7783669,0,3
7783670,0,3
7783672,0,3
7783673,10,2
7783674,6,2
7783675,1,2
7783676,5,2
7783677,0,2
7783678,8,1
7783679,2,1
7783680,0,2
7783683,1,3
7783684,8,1
7783685,4,2
7783686,5,1
7783687,11,3
7783688,12,1
7783689,0,1
7783690,4,3
7783691,1,2
7783692,0,2
7783694,1,2
7783695,9,1
7783696,2,2
7783697,0,3
7783698,12,2
7783699,7,2
7783700,0,1
7783701,2,2
7783702,5,2
7783703,5,3
7783705,7,2
7783706,3,3
7783707,7,1
7783708,7,2
7783711,1,3
7783712,0,2
7783713,0,3
7783714,0,1
7783716,0,3
7783718,4,3
7783719,9,1
7783720,0,3
7783721,0,2
7783722,0,3
7783723,0,3
7783724,3,3
7783725,0,3
7783726,0,2
7783727,8,2
7783730,0,1
7783731,12,2
7783733,2,2
7783737,2,3
7783738,12,1
7783739,2,1
7783740,0,3
7783744,0,3
7783745,0,3
7783746,0,3
7783748,0,3
7783749,3,2
7783750,0,1
7783751,0,2
7783752,10,1
7783755,0,3
7783756,1,3
7783757,14,3
7783759,5,2
7783760,3,1
7783764,4,2
7783765,6,2
7783766,0,2
